2060,NORTH SYDNEY ,$66.00,Chullora
2060,WAVERTON,$66.00,Chullora
2061,KIRRIBILLI,$70.00,Chullora
2061,MILSONS POINT,$70.00,Chullora
2062,CAMMERAY,$66.00,Chullora
2063,NORTHBRIDGE,$66.00,Chullora
2064,ARTARMON,$55.00,Chullora
2065,CROWS NEST,$55.00,Chullora
2065,GREENWICH ,$55.00,Chullora
2065,NAREMBURN,$55.00,Chullora
2065,ROYAL NORTH SHORE HOSPITAL,$55.00,Chullora
2065,ST LEONARDS,$55.00,Chullora
2065,WOLLSTONECRAFT,$55.00,Chullora
2066,LANE COVE,$55.00,Chullora
2066,LANE COVE NORTH,$55.00,Chullora
2066,LANE COVE WEST,$55.00,Chullora
2066,LINLEY POINT,$49.50,Chullora
2066,LONGUEVILLE,$55.00,Chullora
2066,NORTHWOOD (SYDNEY),$44.00,Chullora
2066,OSBORNE PARK ,$55.00,Chullora
2066,RIVERVIEW,$55.00,Chullora
2067,CHATSWOOD,$55.00,Chullora
2067,CHATSWOOD WEST,$55.00,Chullora
2068,CASTLECRAG,$66.00,Chullora
2068,MIDDLE COVE,$66.00,Chullora
2068,NORTH WILLOUGHBY,$66.00,Chullora
2068,WILLOUGHBY ,$66.00,Chullora
2068,WILLOUGHBY EAST,$66.00,Chullora
2068,WILLOUGHBY NORTH,$66.00,Chullora
2069,CASTLE COVE,$66.00,Chullora 
2069,ROSEVILLE ,$66.00,Chullora
2069,ROSEVILLE CHASE,$66.00,Chullora
2070,EAST LINDFIELD,$66.00,Chullora
2070,LINDFIELD,$66.00,Chullora
2070,LINDFIELD WEST,$66.00,Chullora
2071,EAST KILLARA,$66.00,Chullora
2071,KILLARA,$66.00,Chullora
2072,GORDON (SYDNEY),$55.00,Chullora
2073,PYMBLE,$55.00,Chullora
2073,WEST PYMBLE,$55.00,Chullora
2074,NORTH TURRAMURRA,$77.00,Chullora
2074,SOUTH TURRAMURRA,$77.00,Chullora
2074,TURRAMURRA,$77.00,Chullora
2074,WARRAWEE,$66.00,Chullora
2075,ST IVES,$77.00,Chullora
2075,ST IVES CHASE,$77.00,Chullora
2076,NORMANHURST,$66.00,Chullora
2076,NORTH WAHROONGA,$77.00,Chullora
2076,WAHROONGA,$77.00,Chullora
2077,ASQUITH,$88.00,Chullora
2077,HOOKHAMS CORNER,$88.00,Chullora
2077,HORNSBY,$88.00,Chullora
2077,HORNSBY HEIGHTS,$88.00,Chullora
2077,WAITARA,$88.00,Chullora
2079,MOUNT COLAH,$99.00,Chullora
2080,MOUNT KU-RING-GAI,$99.00,Chullora
2081,BEROWRA,$99.00,Chullora
2081,COWAN,$99.00,Chullora
2082,BEROWRA CREEK,$99.00,Chullora
2082,BEROWRA HEIGHTS,$99.00,Chullora
2082,BEROWRA WATERS,$99.00,Chullora
2083,BAR POINT,$150.00,Chullora
2083,BROOKLYN ,$150.00,Chullora
2083,CHEERO POINT,$150.00,Chullora
2083,COGRA BAY ,$150.00,Chullora
2083,DANGAR ISLAND,$150.00,Chullora
2083,MILSONS PASSAGE,$150.00,Chullora
2083,MOONEY MOONEY,$150.00,Chullora
2084,COTTAGE POINT,$77.00,Chullora
2084,DUFFYS FOREST ,$77.00,Chullora
2084,KU-RING-GAI CHASE,$77.00,Chullora
2084,TERREY HILLS,$88.00,Chullora
2085,BELROSE,$88.00,Chullora
2085,BELROSE WEST,$88.00,Chullora
2085,DAVIDSON,$88.00,Chullora
2085,WAKEHURST,$77.00,Chullora
2086,FRENCHS FOREST ,$88.00,Chullora
2086,SORLIE,$88.00,Chullora
2087,BANTRY BAY ,$88.00,Chullora
2087,FORESTVILLE ,$88.00,Chullora
2087,KILLARNEY HTS,$88.00,Chullora
2088,BALMORAL BEACH (SYDNEY),$88.00,Chullora
2088,CLIFTON GARDENS ,$88.00,Chullora
2088,GEORGES HTS,$88.00,Chullora
2088,MOSMAN,$88.00,Chullora
2088,MOSMANS BAY ,$88.00,Chullora
2088,SPIT JUNCTION,$88.00,Chullora
2088,TARONGA PARK ,$88.00,Chullora
2088,THE SPIT (SYDNEY),$88.00,Chullora
2089,KURRABA POINT,$66.00,Chullora
2089,NEUTRAL BAY ,$66.00,Chullora
2089,NEUTRAL BAY JUNCTION,$66.00,Chullora
2090,CREMORNE,$66.00,Chullora
2090,CREMORNE JUNCTION,$66.00,Chullora
2090,CREMORNE POINT,$66.00,Chullora
2091,MIDDLE HEAD,$88.00,Chullora
2092,SEAFORTH,$88.00,Chullora
2093,BALGOWLAH,$88.00,Chullora
2093,BALGOWLAH HEIGHTS,$88.00,Chullora
2093,CLONTARF,$88.00,Chullora
2093,MANLY VALE,$88.00,Chullora
2093,NORTH BALGOWLAH,$88.00,Chullora
2094,FAIRLIGHT,$88.00,Chullora
2095,DOBROYD HEAD,$88.00,Chullora
2095,LITTLE MANLY,$88.00,Chullora
2095,MANLY,$99.00,Chullora
2095,MANLY EAST,$99.00,Chullora
2095,NORTH HEAD,$99.00,Chullora
2095,STEYNE ,$99.00,Chullora
2096,CURL CURL,$99.00,Chullora
2096,FRESHWATER,$99.00,Chullora
2096,HARBORD,$88.00,Chullora
2096,QUEENSCLIFF,$99.00,Chullora
2097,COLLAROY,$99.00,Chullora
2097,COLLAROY BEACH,$99.00,Chullora
2097,COLLAROY PLATEAU,$99.00,Chullora
2097,LONG REEF,$88.00,Chullora
2097,WHEELER HEIGHTS,$88.00,Chullora
2099,CROMER,$99.00,Chullora
2099,DEE WHY,$99.00,Chullora
2099,NARRAWEENA,$99.00,Chullora
2099,NORTH CURL CURL,$99.00,Chullora
2099,WINGALA,$88.00,Chullora
2100,ALLAMBIE,$88.00,Chullora
2100,ALLAMBIE ,$88.00,Chullora
2100,ALLAMBIE HEIGHTS,$88.00,Chullora
2100,BEACON HILL ,$88.00,Chullora
2100,BROOKVALE,$88.00,Chullora
2100,NORTH MANLY,$88.00,Chullora
